category,parameter,value,unit,note
target,annual_sales,10000000,円,年間目標売上
target,gross_margin_rate,0.15,,粗利率15%
target,annual_gross_profit,1500000,円,目標粗利

price_tier,tier_a_price,5000,円,低価格帯
price_tier,tier_a_cost_limit,4250,円,調達上限
price_tier,tier_a_profit,750,円,粗利/個
price_tier,tier_b_price,10000,円,高価格帯
price_tier,tier_b_cost_limit,8500,円,調達上限
price_tier,tier_b_profit,1500,円,粗利/個

channel,mail_mag_current_cvr,0.0004,,旅客メルマガ現状CVR
channel,mail_mag_target_cvr,0.005,,旅客メルマガ目標CVR
channel,mail_mag_annual_clicks,400000,クリック,年間見込み（66000×6回）
channel,o2o_current_cvr,0.02,,O2O現状CVR
channel,o2o_target_cvr,0.03,,O2O目標CVR
channel,o2o_annual_traffic,50000,人,年間乗船客の一部
channel,sns_current_cvr,0.005,,SNS現状CVR
channel,sns_target_cvr,0.01,,SNS目標CVR
channel,sns_annual_clicks,100000,クリック,年間見込み
channel,repeat_current_cvr,0.1,,リピート現状CVR
channel,repeat_target_cvr,0.2,,リピート目標CVR
channel,repeat_base,2000,人,既存顧客ベース

investment,card_cost_low,50,円/枚,同梱カード単価下限
investment,card_cost_high,80,円/枚,同梱カード単価上限
investment,card_volume,2000,枚,想定発注数

benchmark,industry_avg_cvr,0.025,,EC業界平均CVR
benchmark,food_ec_avg_cvr,0.015,,食品EC平均CVR
